datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getAccelXScaled(),getAccelYScaled(),getAccelZScaled(),getGyroX(),getGyroY(),getGyroZ(),getGyroXScaled(),getGyroYScaled(),getGyroZScaled(),getXRotation(),getYRotation(),getForwardProximity(),steering_angle,throttle
2019-03-13 19:31:40.728508,108,792,16788,0.005859375,0.0439453125,1.022705078125,-360,107,-248,-2.564885496183206,0.5190839694656488,0.25190839694656486,2.595726222937611,-0.260443130039153,44.65,77,5929
2019-03-13 19:31:40.860446,72,1008,16644,0.01123046875,0.0478515625,1.013916015625,-262,90,29,-2.183206106870229,0.5190839694656488,0.16793893129770993,2.5716163763459914,-0.2612431857696415,45.06,78,6084
2019-03-13 19:31:40.992435,108,828,16720,0.0029296875,0.034912109375,1.015380859375,-280,92,50,-2.6106870229007635,0.5954198473282443,0.1450381679389313,1.8355646364644815,-0.28561588949719624,44.23,79,6241
2019-03-13 19:31:41.124711,104,1008,16476,0.00390625,0.05615234375,1.002197265625,-340,90,63,-2.1755725190839694,0.6946564885496184,0.37404580152671757,2.389312315265866,-0.3181458988251075,44.23,80,6400
2019-03-13 19:31:41.256943,44,720,16416,0.000244140625,0.044677734375,1.01708984375,-298,93,45,-2.351145038167939,0.7862595419847328,0.3435114503816794,2.7717518014147444,-0.02758696168875094,45.07,81,6561
2019-03-13 19:31:41.388924,60,832,16532,0.00244140625,0.062255859375,1.020263671875,-300,100,32,-2.2519083969465647,0.5725190839694656,1.9465648854961832,2.0896489500289244,-0.45509460161082593,45.19,82,6724
2019-03-13 19:31:41.520926,0,836,16464,0.000732421875,0.0517578125,1.010498046875,-340,87,38,-2.3053435114503817,0.5801526717557252,0.2748091603053435,3.076702670305389,-0.38460439533562646,45.08,83,6889
2019-03-13 19:31:41.652876,168,532,16656,0.003173828125,0.049072265625,1.012939453125,-318,81,39,-2.2595419847328246,0.7862595419847328,0.31297709923664124,2.6788064036655106,-0.25764029468944427,44.21,84,7056
2019-03-13 19:31:41.784875,44,808,16592,0.01123046875,0.04443359375,1.014892578125,-316,92,26,-2.2977099236641223,0.7251908396946565,0.42748091603053434,3.140445046375758,-0.8302934618086911,45.12,85,7225
2019-03-13 19:31:41.916854,144,544,16860,0.0087890625,0.0517578125,1.02783203125,-330,69,29,-2.267175572519084,0.8015267175572519,0.1450381679389313,2.75049849455959,-0.2331377237779435,45.02,86,7396
